-1.4184,-1.3698,-1.3655,-1.1884,-1.0041,-0.9858,-0.6688,-0.5827,-0.4990,-0.1527,
-0.0473,-0.0445,0.0370,0.0777,0.1369,0.1501,0.2083,0.2351,0.2418,0.2980,
0.3080,0.3151,0.3355,0.3637,0.4103,0.4195,0.4378,0.4494,0.4797,0.5331,
0.5424,0.5580,0.5607,0.5783,0.6980,0.7054,0.7409,0.7478,0.7590,0.7642,
0.8288,0.8558,0.8683,0.9003,0.9676,0.9959,1.0103,1.0148,1.0442,1.0872,
1.0937,1.1193,1.1347,1.1454,1.1748,1.1752,1.1804,1.1890,1.1950,1.2091,
1.2385,1.2610,1.2742,1.2944,1.2947,1.3141,1.3286,1.3302,1.3862,1.3950,
1.3979,1.4377,1.4582,1.6810,1.7032,1.7425,1.7671,1.7994,1.8284,1.8605,
1.9013,1.9198,1.9386,1.9426,1.9445,1.9554,1.9641,2.0580,2.1189,2.1444,
2.1862,2.2041,2.3165,2.5766,2.6016,2.6814,2.7313,2.9792,3.3090,4.2674,

-1.9482,-0.3121,0.1938,0.4296,0.6577,0.9428,1.1302,1.3619,1.8781,2.2286,
-1.5778,-0.3066,0.2005,0.4614,0.6861,0.9926,1.1342,1.3692,1.8869,2.2623,
-0.8869,-0.2368,0.2390,0.4932,0.6886,0.9932,1.1347,1.5341,1.9043,2.2663,
-0.7927,-0.1113,0.2599,0.5278,0.6933,1.0228,1.1479,1.5376,1.9459,2.3249,
-0.7349,0.0336,0.2677,0.5559,0.7433,1.0435,1.1582,1.5643,1.9797,2.3630,
-0.6000,0.0612,0.2688,0.5648,0.7574,1.0561,1.2024,1.6007,2.0227,2.5261,
-0.4442,0.0618,0.2851,0.5918,0.8451,1.0906,1.2029,1.7722,2.0620,3.1081,
-0.4029,0.0659,0.3120,0.6250,0.8892,1.0948,1.2087,1.8173,2.0645,3.3060,
-0.3945,0.0881,0.3452,0.6531,0.8978,1.1008,1.2261,1.8493,2.0813,3.6620,
-0.3285,0.1055,0.3845,0.6538,0.9088,1.1294,1.2719,1.8660,2.1640,3.6778,

-0.4184,-0.3698,-0.3655,-0.1884,-0.0041,0.0142,0.3312,0.4173,0.5010,0.8473,
0.9527,0.9555,1.0370,1.0777,1.1369,1.1501,1.2083,1.2351,1.2418,1.2980,
1.3080,1.3151,1.3355,1.3637,1.4103,1.4195,1.4378,1.4494,1.4797,1.5331,
1.5424,1.5580,1.5607,1.5783,1.6980,1.7054,1.7409,1.7478,1.7590,1.7642,
1.8288,1.8558,1.8683,1.9003,1.9676,1.9959,2.0103,2.0148,2.0442,2.0872,
2.0937,2.1193,2.1347,2.1454,2.1748,2.1752,2.1804,2.1890,2.1950,2.2091,
2.2385,2.2610,2.2742,2.2944,2.2947,2.3141,2.3286,2.3302,2.3862,2.3950,
2.3979,2.4377,2.4582,2.6810,2.7032,2.7425,2.7671,2.7994,2.8284,2.8605,
2.9013,2.9198,2.9386,2.9426,2.9445,2.9554,2.9641,3.0580,3.1189,3.1444,
3.1862,3.2041,3.3165,3.5766,3.6016,3.6814,3.7313,3.9792,4.3090,5.2674,

-0.9482,0.6879,1.1938,1.4296,1.6577,1.9428,2.1302,2.3619,2.8781,3.2286,
-0.5778,0.6934,1.2005,1.4614,1.6861,1.9926,2.1342,2.3692,2.8869,3.2623,
0.1131,0.7632,1.2390,1.4932,1.6886,1.9932,2.1347,2.5341,2.9043,3.2663,
0.2073,0.8887,1.2599,1.5278,1.6933,2.0228,2.1479,2.5376,2.9459,3.3249,
0.2651,1.0336,1.2677,1.5559,1.7433,2.0435,2.1582,2.5643,2.9797,3.3630,
0.4000,1.0612,1.2688,1.5648,1.7574,2.0561,2.2024,2.6007,3.0227,3.5261,
0.5558,1.0618,1.2851,1.5918,1.8451,2.0906,2.2029,2.7722,3.0620,4.1081,
0.5971,1.0659,1.3119,1.6250,1.8892,2.0948,2.2087,2.8173,3.0645,4.3060,
